Allergy,Age_Type,Food_Type,Food_Item,Amount_Taken,Symptoms
Legume Allergy,Adult,Cereal grain and pulse,Dried seeds,Small Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Adult,Cereal grain and pulse,Green peas,Large Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Adult,Cereal grain and pulse,Green peas,Small Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Adult,Cereal grain and pulse,Pulse,Large Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Adult,Cereal grain and pulse,Pulse,Small Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Children / Adolescents,Cereal grain and pulse,Beans,Large Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Children / Adolescents,Cereal grain and pulse,Beans,Small Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Children / Adolescents,Cereal grain and pulse,Dried seeds,Large Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Children / Adolescents,Cereal grain and pulse,Dried seeds,Small Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Children / Adolescents,Cereal grain and pulse,Green peas,Large Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Children / Adolescents,Cereal grain and pulse,Green peas,Small Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Children / Adolescents,Cereal grain and pulse,Pulse,Large Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Children / Adolescents,Cereal grain and pulse,Pulse,Small Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Infant / Toddlers,Cereal grain and pulse,Beans,Large Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Infant / Toddlers,Cereal grain and pulse,Beans,Small Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Infant / Toddlers,Cereal grain and pulse,Dried seeds,Large Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Infant / Toddlers,Cereal grain and pulse,Dried seeds,Small Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Infant / Toddlers,Cereal grain and pulse,Green peas,Large Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Infant / Toddlers,Cereal grain and pulse,Green peas,Small Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Infant / Toddlers,Cereal grain and pulse,Pulse,Large Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Infant / Toddlers,Cereal grain and pulse,Pulse,Small Amount,"['Swelling in the face', 'Nausea and vomiting']"
Milk allergy / Lactose intolerance,Adult,Dairy,Butter,Large Amount,"['Loose stools or diarrhea', 'Wheezing', 'Tingling feeling around the lips or mouth', 'Coughing or shortness of breath', 'Vomiting']"
Milk allergy / Lactose intolerance,Adult,Dairy,Butter,Small Amount,"['Wheezing', 'Tingling feeling around the lips or mouth']"
Milk allergy / Lactose intolerance,Adult,Dairy,Buttermilk,Large Amount,"['Loose stools or diarrhea', 'Wheezing', 'Tingling feeling around the lips or mouth', 'Coughing or shortness of breath', 'Vomiting']"
Milk allergy / Lactose intolerance,Adult,Dairy,Buttermilk,Small Amount,"['Wheezing', 'Tingling feeling around the lips or mouth']"
Milk allergy / Lactose intolerance,Adult,Dairy,Cheese,Large Amount,"['Loose stools or diarrhea', 'Wheezing', 'Tingling feeling around the lips or mouth', 'Coughing or shortness of breath', 'Vomiting']"
Milk allergy / Lactose intolerance,Adult,Dairy,Cheese,Small Amount,"['Wheezing', 'Tingling feeling around the lips or mouth']"
Milk allergy / Lactose intolerance,Adult,Dairy,Milk,Large Amount,"['Loose stools or diarrhea', 'Wheezing', 'Tingling feeling around the lips or mouth', 'Coughing or shortness of breath', 'Vomiting']"
Milk allergy / Lactose intolerance,Adult,Dairy,Milk,Small Amount,"['Wheezing', 'Tingling feeling around the lips or mouth']"
Milk allergy / Lactose intolerance,Adult,Dairy,Yogurt,Large Amount,"['Loose stools or diarrhea', 'Wheezing', 'Tingling feeling around the lips or mouth', 'Coughing or shortness of breath', 'Vomiting']"
Milk allergy / Lactose intolerance,Adult,Dairy,Yogurt,Small Amount,"['Wheezing', 'Tingling feeling around the lips or mouth']"
Milk allergy / Lactose intolerance,Children / Adolescents,Dairy,Butter,Large Amount,"['Loose stools or diarrhea', 'Wheezing', 'Tingling feeling around the lips or mouth', 'Coughing or shortness of breath', 'Vomiting']"
Milk allergy / Lactose intolerance,Children / Adolescents,Dairy,Butter,Small Amount,"['Wheezing', 'Tingling feeling around the lips or mouth']"
Milk allergy / Lactose intolerance,Children / Adolescents,Dairy,Buttermilk,Large Amount,"['Loose stools or diarrhea', 'Wheezing', 'Tingling feeling around the lips or mouth', 'Coughing or shortness of breath', 'Vomiting']"
Milk allergy / Lactose intolerance,Children / Adolescents,Dairy,Buttermilk,Small Amount,"['Wheezing', 'Tingling feeling around the lips or mouth']"
Milk allergy / Lactose intolerance,Children / Adolescents,Dairy,Cheese,Large Amount,"['Loose stools or diarrhea', 'Wheezing', 'Tingling feeling around the lips or mouth', 'Coughing or shortness of breath', 'Vomiting']"
Milk allergy / Lactose intolerance,Children / Adolescents,Dairy,Cheese,Small Amount,"['Wheezing', 'Tingling feeling around the lips or mouth']"
Milk allergy / Lactose intolerance,Children / Adolescents,Dairy,Milk,Large Amount,"['Loose stools or diarrhea', 'Wheezing', 'Tingling feeling around the lips or mouth', 'Coughing or shortness of breath', 'Vomiting']"
Milk allergy / Lactose intolerance,Children / Adolescents,Dairy,Milk,Small Amount,"['Wheezing', 'Tingling feeling around the lips or mouth']"
Milk allergy / Lactose intolerance,Children / Adolescents,Dairy,Yogurt,Large Amount,"['Loose stools or diarrhea', 'Wheezing', 'Tingling feeling around the lips or mouth', 'Coughing or shortness of breath', 'Vomiting']"
Milk allergy / Lactose intolerance,Children / Adolescents,Dairy,Yogurt,Small Amount,"['Wheezing', 'Tingling feeling around the lips or mouth']"
Milk allergy / Lactose intolerance,Infant / Toddlers,Dairy,Butter,Large Amount,"['Loose stools or diarrhea', 'Wheezing', 'Tingling feeling around the lips or mouth', 'Coughing or shortness of breath', 'Vomiting']"
Milk allergy / Lactose intolerance,Infant / Toddlers,Dairy,Butter,Small Amount,"['Wheezing', 'Tingling feeling around the lips or mouth']"
Milk allergy / Lactose intolerance,Infant / Toddlers,Dairy,Buttermilk,Large Amount,"['Loose stools or diarrhea', 'Wheezing', 'Tingling feeling around the lips or mouth', 'Coughing or shortness of breath', 'Vomiting']"
Milk allergy / Lactose intolerance,Infant / Toddlers,Dairy,Buttermilk,Small Amount,"['Wheezing', 'Tingling feeling around the lips or mouth']"
Milk allergy / Lactose intolerance,Infant / Toddlers,Dairy,Cheese,Large Amount,"['Loose stools or diarrhea', 'Wheezing', 'Tingling feeling around the lips or mouth', 'Coughing or shortness of breath', 'Vomiting']"
Milk allergy / Lactose intolerance,Infant / Toddlers,Dairy,Cheese,Small Amount,"['Wheezing', 'Tingling feeling around the lips or mouth']"
Milk allergy / Lactose intolerance,Infant / Toddlers,Dairy,Milk,Large Amount,"['Loose stools or diarrhea', 'Wheezing', 'Tingling feeling around the lips or mouth', 'Coughing or shortness of breath', 'Vomiting']"
Milk allergy / Lactose intolerance,Infant / Toddlers,Dairy,Milk,Small Amount,"['Wheezing', 'Tingling feeling around the lips or mouth']"
Milk allergy / Lactose intolerance,Infant / Toddlers,Dairy,Yogurt,Large Amount,"['Loose stools or diarrhea', 'Wheezing', 'Tingling feeling around the lips or mouth', 'Coughing or shortness of breath', 'Vomiting']"
Milk allergy / Lactose intolerance,Infant / Toddlers,Dairy,Yogurt,Small Amount,"['Wheezing', 'Tingling feeling around the lips or mouth']"
Mushroom Allergy,Adult,Vegetable,Mushroom,Large Amount,"['Skin irritation, hives and rashes', 'Cramping and bloating', 'Difficulty in breathing', 'Runny nose and watery eyes']"
Mushroom Allergy,Adult,Vegetable,Mushroom,Small Amount,"['Skin irritation, hives and rashes', 'Cramping and bloating', 'Difficulty in breathing', 'Runny nose and watery eyes']"
Mushroom Allergy,Children / Adolescents,Vegetable,Mushroom,Large Amount,"['Skin irritation, hives and rashes', 'Cramping and bloating', 'Difficulty in breathing', 'Runny nose and watery eyes']"
Mushroom Allergy,Children / Adolescents,Vegetable,Mushroom,Small Amount,"['Skin irritation, hives and rashes', 'Cramping and bloating', 'Difficulty in breathing', 'Runny nose and watery eyes']"
Mushroom Allergy,Infant / Toddlers,Vegetable,Mushroom,Large Amount,"['Skin irritation, hives and rashes', 'Cramping and bloating', 'Difficulty in breathing', 'Runny nose and watery eyes']"
Mushroom Allergy,Infant / Toddlers,Vegetable,Mushroom,Small Amount,"['Skin irritation, hives and rashes', 'Cramping and bloating', 'Difficulty in breathing', 'Runny nose and watery eyes']"
Nightshade Allergy,Adult,Vegetable,Tomato,Large Amount,"['Achy muscles and joints', 'Itchiness and Loss of consciousness', 'Nausea and vomiting']"
Nightshade Allergy,Adult,Vegetable,Tomato,Small Amount,"['Achy muscles and joints', 'Itchiness and Loss of consciousness', 'Nausea and vomiting']"
Nightshade Allergy,Children / Adolescents,Vegetable,Tomato,Large Amount,"['Achy muscles and joints', 'Itchiness and Loss of consciousness', 'Nausea and vomiting']"
Nightshade Allergy,Children / Adolescents,Vegetable,Tomato,Small Amount,"['Achy muscles and joints', 'Itchiness and Loss of consciousness', 'Nausea and vomiting']"
Nightshade Allergy,Infant / Toddlers,Vegetable,Tomato,Large Amount,"['Achy muscles and joints', 'Itchiness and Loss of consciousness', 'Nausea and vomiting']"
Nightshade Allergy,Infant / Toddlers,Vegetable,Tomato,Small Amount,"['Achy muscles and joints', 'Itchiness and Loss of consciousness', 'Nausea and vomiting']"
Nut Allergy,Adult,Nut and seed,Almond,Large Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Adult,Nut and seed,Almond,Small Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Adult,Nut and seed,Cashews,Large Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Adult,Nut and seed,Cashews,Small Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Adult,Nut and seed,Chestnut,Large Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Adult,Nut and seed,Chestnut,Small Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Adult,Nut and seed,Coffee,Large Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Adult,Nut and seed,Coffee,Small Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Adult,Nut and seed,Peanut,Large Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Adult,Nut and seed,Peanut,Small Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Adult,Nut and seed,Peanut Butter,Large Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Adult,Nut and seed,Peanut Butter,Small Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Adult,Nut and seed,Pistachios,Large Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Adult,Nut and seed,Pistachios,Small Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Children / Adolescents,Nut and seed,Almond,Large Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Children / Adolescents,Nut and seed,Almond,Small Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Children / Adolescents,Nut and seed,Cashews,Large Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Children / Adolescents,Nut and seed,Cashews,Small Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Children / Adolescents,Nut and seed,Chestnut,Large Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Children / Adolescents,Nut and seed,Chestnut,Small Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Children / Adolescents,Nut and seed,Coffee,Large Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Children / Adolescents,Nut and seed,Coffee,Small Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Children / Adolescents,Nut and seed,Peanut,Large Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Children / Adolescents,Nut and seed,Peanut,Small Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Children / Adolescents,Nut and seed,Peanut Butter,Large Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Children / Adolescents,Nut and seed,Peanut Butter,Small Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Children / Adolescents,Nut and seed,Pistachios,Large Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Children / Adolescents,Nut and seed,Pistachios,Small Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough', 'Paleness and floppiness', 'Difficulty talking or a hoarse voice']"
Nut Allergy,Infant / Toddlers,Nut and seed,Almond,Large Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough']"
Nut Allergy,Infant / Toddlers,Nut and seed,Almond,Small Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash']"
Nut Allergy,Infant / Toddlers,Nut and seed,Cashews,Large Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough']"
Nut Allergy,Infant / Toddlers,Nut and seed,Cashews,Small Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash']"
Nut Allergy,Infant / Toddlers,Nut and seed,Chestnut,Large Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough']"
Nut Allergy,Infant / Toddlers,Nut and seed,Chestnut,Small Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash']"
Nut Allergy,Infant / Toddlers,Nut and seed,Coffee,Large Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough']"
Nut Allergy,Infant / Toddlers,Nut and seed,Coffee,Small Amount,"['Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash']"
Nut Allergy,Infant / Toddlers,Nut and seed,Coffee ,Small Amount,['Bumps on the skin (hives)']
Nut Allergy,Infant / Toddlers,Nut and seed,Peanut,Large Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough']"
Nut Allergy,Infant / Toddlers,Nut and seed,Peanut,Small Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash']"
Nut Allergy,Infant / Toddlers,Nut and seed,Peanut Butter,Large Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough']"
Nut Allergy,Infant / Toddlers,Nut and seed,Peanut Butter,Small Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash']"
Nut Allergy,Infant / Toddlers,Nut and seed,Pistachios,Large Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash', 'Wheeze or persistent cough']"
Nut Allergy,Infant / Toddlers,Nut and seed,Pistachios,Small Amount,"['Bumps on the skin (hives)', 'Swelling around the mouth, and vomiting', 'Stomach pains, or diarrhoea', 'Itchy skin and rash']"
Oral Allergy Syndrome,Adult,Fruit,Apple,Large Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Adult,Fruit,Apple,Small Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Adult,Fruit,Kiwi,Large Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Adult,Fruit,Kiwi,Small Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Adult,Fruit,Papaya,Large Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Adult,Fruit,Papaya,Small Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Adult,Fruit,Passion Fruit,Large Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Adult,Fruit,Passion Fruit,Small Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Adult,Fruit,Pineapple,Large Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Adult,Fruit,Pineapple,Small Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Children / Adolescents,Fruit,Apple,Large Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Children / Adolescents,Fruit,Apple,Small Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Children / Adolescents,Fruit,Kiwi,Large Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Children / Adolescents,Fruit,Kiwi,Small Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Children / Adolescents,Fruit,Papaya,Large Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Children / Adolescents,Fruit,Papaya,Small Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Children / Adolescents,Fruit,Passion Fruit,Large Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Children / Adolescents,Fruit,Passion Fruit,Small Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Children / Adolescents,Fruit,Pineapple,Large Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Children / Adolescents,Fruit,Pineapple,Small Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Infant / Toddlers,Fruit,Apple,Large Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Infant / Toddlers,Fruit,Apple,Small Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Infant / Toddlers,Fruit,Kiwi,Large Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Infant / Toddlers,Fruit,Kiwi,Small Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Infant / Toddlers,Fruit,Papaya,Large Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Infant / Toddlers,Fruit,Papaya,Small Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Infant / Toddlers,Fruit,Passion Fruit,Large Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Infant / Toddlers,Fruit,Passion Fruit,Small Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Infant / Toddlers,Fruit,Pineapple,Large Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Oral Allergy Syndrome,Infant / Toddlers,Fruit,Pineapple,Small Amount,"['Slight swelling and bumpiness of the mouth, throat, or lips', 'Difficulty swallowing or breathing', 'Itching and tingling of the mouth, throat, and sometimes lips']"
Potato Allergy,Adult,Vegetable,Potato,Large Amount,"['Tingling sensation on your lips', 'Sneezing and Runny nose', 'A little drop in blood pressure']"
Potato Allergy,Adult,Vegetable,Potato,Small Amount,"['Tingling sensation on your lips', 'Sneezing and Runny nose', 'A little drop in blood pressure']"
Potato Allergy,Adult,Vegetable,Sweet potato,Large Amount,"['Tingling sensation on your lips', 'Sneezing and Runny nose', 'A little drop in blood pressure']"
Potato Allergy,Adult,Vegetable,Sweet potato,Small Amount,"['Tingling sensation on your lips', 'Sneezing and Runny nose', 'A little drop in blood pressure']"
